
0it [00:00, ?it/s]
2636it [02:06, 22.06it/s]
2640it [02:06, 24.75it/s]
2644it [02:07, 26.02it/s]
2648it [02:07, 28.55it/s]
2652it [02:07, 29.78it/s]
2658it [02:07, 33.45it/s]
2662it [02:07, 33.55it/s]
2666it [02:07, 32.51it/s]
2670it [02:07, 32.57it/s]
2675it [02:07, 35.72it/s]
2679it [02:08, 35.59it/s]
2683it [02:08, 15.98it/s]
2686it [02:09, 12.18it/s]
2689it [02:09, 10.86it/s]
2691it [02:09,  7.43it/s]
2694it [02:09,  9.48it/s]
2698it [02:10, 12.19it/s]
2701it [02:10, 14.27it/s]
2706it [02:10, 17.71it/s]
2711it [02:10, 21.71it/s]
2715it [02:10, 25.01it/s]
2719it [02:10, 28.02it/s]
2723it [02:10, 28.60it/s]
2727it [02:10, 28.82it/s]
2731it [02:10, 30.55it/s]
2735it [02:11, 26.07it/s]
2739it [02:11, 28.12it/s]
2743it [02:11, 28.53it/s]
2747it [02:11, 16.66it/s]
2751it [02:12, 19.45it/s]
2754it [02:12, 21.61it/s]
2757it [02:12, 22.90it/s]
2760it [02:12, 24.28it/s]
2764it [02:12, 26.52it/s]
2768it [02:12, 28.24it/s]
2772it [02:12, 25.84it/s]
2775it [02:13, 13.55it/s]
2778it [02:13, 13.44it/s]
2780it [02:13, 11.15it/s]
2784it [02:13, 13.91it/s]
2787it [02:14, 14.94it/s]
2790it [02:14, 17.55it/s]
2793it [02:14, 19.90it/s]
2796it [02:14, 22.07it/s]
2800it [02:14, 24.31it/s]
2803it [02:14, 13.33it/s]
2806it [02:15, 10.97it/s]
2808it [02:15, 11.63it/s]
2812it [02:15, 14.25it/s]
2815it [02:15, 13.69it/s]
2817it [02:15, 14.91it/s]
2819it [02:16, 15.70it/s]
2821it [02:16, 16.70it/s]
2823it [02:16, 16.34it/s]
2826it [02:16, 18.12it/s]
2829it [02:16, 18.24it/s]
2832it [02:16, 18.76it/s]
2835it [02:16, 20.28it/s]
2839it [02:16, 21.99it/s]
2842it [02:17, 22.86it/s]
2846it [02:17, 24.91it/s]
2849it [02:17, 11.51it/s]
2852it [02:17, 13.96it/s]
2855it [02:18, 15.26it/s]
2858it [02:18, 17.82it/s]
2861it [02:18, 19.82it/s]
2864it [02:18, 19.68it/s]
2867it [02:18, 21.14it/s]
2870it [02:18, 18.22it/s]
2873it [02:18, 19.35it/s]
2876it [02:19, 18.43it/s]
2878it [02:19, 15.06it/s]
2881it [02:19, 17.49it/s]
2884it [02:19, 19.51it/s]
2887it [02:19, 20.91it/s]
2890it [02:19, 19.87it/s]
2893it [02:19, 21.81it/s]
2896it [02:20, 18.46it/s]
2899it [02:20, 19.17it/s]
2902it [02:20, 19.60it/s]
2905it [02:20, 12.81it/s]
2907it [02:20, 14.05it/s]
2910it [02:21, 16.37it/s]
2912it [02:21, 17.17it/s]
2915it [02:21, 18.42it/s]
2919it [02:21, 19.13it/s]
2922it [02:21, 20.90it/s]
2925it [02:21, 21.90it/s]
2928it [02:21, 22.01it/s]
2932it [02:21, 24.26it/s]
2935it [02:22, 25.27it/s]
2938it [02:22, 24.85it/s]
2941it [02:22, 25.42it/s]
2944it [02:22, 20.98it/s]
2947it [02:22, 22.63it/s]
2950it [02:22, 22.16it/s]
2953it [02:22, 22.07it/s]
2956it [02:23,  9.31it/s]
2958it [02:24,  7.11it/s]
2961it [02:24,  9.10it/s]
2964it [02:24, 11.36it/s]
2967it [02:24, 11.96it/s]
2970it [02:24, 14.40it/s]
2973it [02:24, 16.83it/s]
2976it [02:24, 15.98it/s]
2979it [02:25, 17.42it/s]
2982it [02:25, 19.16it/s]
2985it [02:25, 20.75it/s]
2988it [02:25, 18.88it/s]
2991it [02:25, 20.30it/s]
2994it [02:25, 21.38it/s]
2997it [02:26, 17.19it/s]
3000it [02:26, 15.02it/s]
3003it [02:26, 16.83it/s]
3006it [02:26, 18.36it/s]
3009it [02:26, 13.74it/s]
3012it [02:27, 15.50it/s]
3015it [02:27, 17.43it/s]
3018it [02:27, 17.86it/s]
3021it [02:27, 19.36it/s]
3024it [02:27, 19.21it/s]
3027it [02:27, 17.59it/s]
3030it [02:27, 19.28it/s]
3033it [02:28, 19.87it/s]
3036it [02:28, 20.71it/s]
3039it [02:28, 21.13it/s]
3042it [02:28, 20.96it/s]
3045it [02:28, 19.99it/s]
3048it [02:28, 21.13it/s]
3051it [02:28, 21.08it/s]
3054it [02:29, 21.60it/s]
3057it [02:29, 18.61it/s]
3059it [02:29, 18.16it/s]
3061it [02:30,  7.33it/s]
3064it [02:30,  9.40it/s]
3067it [02:30, 11.02it/s]
3070it [02:30, 12.76it/s]
3073it [02:30, 11.43it/s]
3076it [02:30, 13.69it/s]
3080it [02:30, 16.81it/s]
3083it [02:31, 14.00it/s]
3085it [02:31, 15.04it/s]
3089it [02:31, 18.05it/s]
3093it [02:31, 21.33it/s]
3096it [02:31, 20.24it/s]
3099it [02:31, 21.83it/s]
3102it [02:32, 18.22it/s]
3105it [02:32, 17.57it/s]
3109it [02:32, 20.01it/s]
3113it [02:32, 22.63it/s]
3116it [02:32, 24.06it/s]
3119it [02:32, 24.63it/s]
3122it [02:32, 25.61it/s]
3125it [02:33, 25.05it/s]
3129it [02:33, 27.22it/s]
3133it [02:33, 29.59it/s]
3138it [02:33, 32.94it/s]
3142it [02:33, 25.80it/s]
3145it [02:33, 18.01it/s]
3149it [02:33, 21.53it/s]
3152it [02:34, 22.13it/s]
3156it [02:34, 24.67it/s]
3159it [02:34, 19.05it/s]
3163it [02:34, 16.50it/s]
3166it [02:35, 11.49it/s]
3168it [02:35,  9.99it/s]
3170it [02:35,  7.71it/s]
3173it [02:36,  9.48it/s]
3176it [02:36, 11.52it/s]
3178it [02:36, 12.92it/s]
3181it [02:36, 15.31it/s]
3184it [02:36, 14.52it/s]
3187it [02:36, 16.95it/s]
3190it [02:36, 19.22it/s]
3194it [02:36, 22.15it/s]
3198it [02:37, 25.00it/s]
3201it [02:37, 25.46it/s]
3205it [02:37, 28.37it/s]
3210it [02:37, 31.34it/s]
3214it [02:37, 33.14it/s]
3218it [02:37, 30.43it/s]
3222it [02:37, 30.72it/s]
3226it [02:37, 32.24it/s]
3230it [02:38, 10.31it/s]
3234it [02:39, 12.97it/s]
3238it [02:39, 15.43it/s]
3242it [02:39, 17.90it/s]
3245it [02:39, 14.28it/s]
3249it [02:39, 17.33it/s]
3253it [02:39, 19.94it/s]
