
0it [00:00, ?it/s]
39328it [01:07, 664.18it/s]
39400it [01:07, 677.48it/s]
39469it [01:08, 662.68it/s]
39539it [01:08, 671.41it/s]
39607it [01:08, 662.19it/s]
39676it [01:08, 669.41it/s]
39746it [01:08, 677.42it/s]
39814it [01:08, 669.88it/s]
39883it [01:08, 674.56it/s]
39951it [01:08, 666.36it/s]
40020it [01:08, 671.74it/s]
40088it [01:08, 662.19it/s]
40156it [01:09, 666.90it/s]
40226it [01:09, 675.07it/s]
40294it [01:09, 664.42it/s]
40364it [01:09, 673.03it/s]
40432it [01:09, 665.36it/s]
40502it [01:09, 674.97it/s]
40570it [01:09, 661.59it/s]
40640it [01:09, 671.52it/s]
40708it [01:09, 660.78it/s]
40776it [01:09, 665.54it/s]
40846it [01:10, 673.71it/s]
40914it [01:10, 666.31it/s]
40981it [01:10, 666.98it/s]
41048it [01:10, 665.95it/s]
41115it [01:10, 648.63it/s]
41185it [01:10, 662.60it/s]
41254it [01:10, 668.48it/s]
41321it [01:10, 660.17it/s]
41392it [01:10, 673.58it/s]
41461it [01:11, 677.55it/s]
41529it [01:11, 668.85it/s]
41599it [01:11, 676.49it/s]
41670it [01:11, 685.18it/s]
41739it [01:11, 686.03it/s]
41808it [01:11, 677.94it/s]
41876it [01:11, 668.99it/s]
41946it [01:11, 675.71it/s]
42016it [01:11, 682.18it/s]
42085it [01:11, 666.33it/s]
42153it [01:12, 669.42it/s]
42223it [01:12, 677.98it/s]
42291it [01:12, 664.85it/s]
42361it [01:12, 673.74it/s]
42431it [01:12, 679.31it/s]
42500it [01:12, 668.75it/s]
42570it [01:12, 676.23it/s]
42640it [01:12, 682.07it/s]
42709it [01:12, 672.96it/s]
42777it [01:12, 657.68it/s]
42845it [01:13, 663.02it/s]
42915it [01:13, 671.72it/s]
42986it [01:13, 682.60it/s]
43057it [01:13, 688.60it/s]
43126it [01:13, 667.71it/s]
43193it [01:13, 665.83it/s]
43260it [01:13, 621.36it/s]
43323it [01:13, 622.84it/s]
43389it [01:13, 630.88it/s]
43453it [01:14, 630.79it/s]
43517it [01:14, 627.31it/s]
43588it [01:14, 648.20it/s]
43654it [01:14, 644.27it/s]
43724it [01:14, 659.72it/s]
43791it [01:14, 599.28it/s]
43862it [01:14, 628.25it/s]
43927it [01:14, 633.56it/s]
43998it [01:14, 652.05it/s]
44069it [01:14, 667.86it/s]
44137it [01:15, 659.01it/s]
44207it [01:15, 668.51it/s]
44275it [01:15, 659.22it/s]
44345it [01:15, 670.12it/s]
44414it [01:15, 675.31it/s]
44482it [01:15, 667.90it/s]
44554it [01:15, 681.53it/s]
44625it [01:15, 687.15it/s]
44694it [01:15, 674.22it/s]
44763it [01:15, 678.05it/s]
44831it [01:16, 667.32it/s]
44898it [01:16, 666.88it/s]
44968it [01:16, 674.92it/s]
45036it [01:16, 660.58it/s]
45107it [01:16, 674.59it/s]
45175it [01:16, 668.92it/s]
45246it [01:16, 677.93it/s]
45317it [01:16, 687.15it/s]
45386it [01:16, 672.16it/s]
45454it [01:17, 666.17it/s]
45524it [01:17, 675.86it/s]
45592it [01:17, 667.28it/s]
45663it [01:17, 677.50it/s]
45731it [01:17, 666.64it/s]
45803it [01:17, 680.14it/s]
45872it [01:17, 669.65it/s]
45944it [01:17, 682.05it/s]
46015it [01:17, 690.11it/s]
46085it [01:17, 675.60it/s]
46155it [01:18, 681.47it/s]
46224it [01:18, 668.45it/s]
46296it [01:18, 681.45it/s]
46367it [01:18, 689.60it/s]
46437it [01:18, 668.82it/s]
46507it [01:18, 676.45it/s]
46575it [01:18, 666.70it/s]
46642it [01:18, 664.62it/s]
46709it [01:18, 654.20it/s]
46779it [01:18, 666.07it/s]
46846it [01:19, 657.91it/s]
46916it [01:19, 669.62it/s]
46984it [01:19, 659.94it/s]
47054it [01:19, 669.70it/s]
47125it [01:19, 679.51it/s]
47194it [01:19, 671.81it/s]
47265it [01:19, 680.77it/s]
47334it [01:19, 672.60it/s]
47404it [01:19, 680.45it/s]
47473it [01:20, 664.57it/s]
47540it [01:20, 663.14it/s]
47607it [01:20, 658.67it/s]
47676it [01:20, 666.60it/s]
47743it [01:20, 660.39it/s]
47815it [01:20, 674.63it/s]
47883it [01:20, 664.05it/s]
47950it [01:20, 664.15it/s]
48017it [01:20, 653.77it/s]
48087it [01:20, 666.49it/s]
48154it [01:21, 647.36it/s]
48225it [01:21, 662.92it/s]
48296it [01:21, 673.83it/s]
48364it [01:21, 666.94it/s]
48434it [01:21, 676.39it/s]
48502it [01:21, 663.11it/s]
48571it [01:21, 670.81it/s]
48641it [01:21, 678.20it/s]
48709it [01:21, 664.14it/s]
48780it [01:21, 675.02it/s]
48848it [01:22, 654.50it/s]
48918it [01:22, 667.43it/s]
48985it [01:22, 650.58it/s]
49056it [01:22, 665.81it/s]
49123it [01:22, 661.32it/s]
49193it [01:22, 670.86it/s]
49264it [01:22, 679.85it/s]
49333it [01:22, 672.05it/s]
49405it [01:22, 683.58it/s]
49474it [01:23, 673.59it/s]
49544it [01:23, 679.42it/s]
49614it [01:23, 683.99it/s]
49683it [01:23, 672.08it/s]
49754it [01:23, 681.58it/s]
49823it [01:23, 672.60it/s]
49894it [01:23, 681.84it/s]
49963it [01:23, 672.19it/s]/Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3334: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)

50031it [01:23, 487.14it/s]
50088it [01:24, 372.82it/s]
50135it [01:24, 354.57it/s]
50178it [01:24, 317.27it/s]
50216it [01:24, 312.44it/s]
50252it [01:24, 305.56it/s]
50286it [01:24, 296.37it/s]
